NCBI_sample_code,sample_name,plate,plate_type,Sample Type,spiked
S3_002_008G1,#2D8_G,EX_17,DNA extraction,Gut,False
S3_004_032G1,#4D32_G,EX_17,DNA extraction,Gut,False
S3_007_011G1,#7D11_G,EX_17,DNA extraction,Gut,False
S3_012_010G1,#12D10_G,EX_17,DNA extraction,Gut,False
S3_014_059G1,#14D59_G,EX_17,DNA extraction,Gut,False
S3_011_053G1,#11D53_G,EX_17,DNA extraction,Gut,False
S3_CON_017Z4,PC6_1,EX_17,DNA extraction,CON_Z,False
S3_004_057G1,#4D57_G,EX_17,DNA extraction,Gut,False
S3_007_016G1,#7D16_G,EX_17,DNA extraction,Gut,False
S3_010_011G1,#10D11_G,EX_17,DNA extraction,Gut,False
S3_012_032G1,#12D32_G,EX_17,DNA extraction,Gut,False
S3_015_011G1,#15D11_G,EX_17,DNA extraction,Gut,False
S3_013_010G1,#13D10_G,EX_17,DNA extraction,Gut,False
S3_002_028G1,#2D28_G,EX_17,DNA extraction,Gut,False
S3_005_011G1,#5D11_G,EX_17,DNA extraction,Gut,False
S3_008_010G1,#8D10_G,EX_17,DNA extraction,Gut,False
S3_010_013G1,#10D13_G,EX_17,DNA extraction,Gut,False
S3_012_057G1,#12D57_G,EX_17,DNA extraction,Gut,False
S3_015_028G1,#15D28_G,EX_17,DNA extraction,Gut,False
S3_013_056G1,#13D56_G,EX_17,DNA extraction,Gut,False
S3_002_054G1,#2D54_G,EX_17,DNA extraction,Gut,False
S3_008_015G1,#8D15_G,EX_17,DNA extraction,Gut,False
S3_015_052G1,#15D52_G,EX_17,DNA extraction,Gut,False
S3_014_012G1,#14D12_G,EX_17,DNA extraction,Gut,False
S3_005_029G1,#5D29_G,EX_17,DNA extraction,Gut,False
S3_008_029G1,#8D29_G,EX_17,DNA extraction,Gut,False
S3_010_019G1,#10D19_G,EX_17,DNA extraction,Gut,False
S3_013_028G1,#13D28_G,EX_17,DNA extraction,Gut,False
S3_017_030G1,#17D30_G,EX_17,DNA extraction,Gut,False
S3_003_030G1,#3D30_G,EX_17,DNA extraction,Gut,False
S3_005_059G1,#5D59_G,EX_17,DNA extraction,Gut,False
S3_009_009G1,#9D9_G,EX_17,DNA extraction,Gut,False
S3_011_013G1,#11D13_G,EX_17,DNA extraction,Gut,False
S3_016_015G1,#16D15_G,EX_17,DNA extraction,Gut,False
S3_017_051G1,#17D51_G,EX_17,DNA extraction,Gut,False
S3_003_051G1,#3D51_G,EX_17,DNA extraction,Gut,False
S3_006_057G1,#6D57_G,EX_17,DNA extraction,Gut,False
S3_009_031G1,#9D31_G,EX_17,DNA extraction,Gut,False
S3_011_033G1,#11D33_G,EX_17,DNA extraction,Gut,False
S3_016_030G1,#16D30_G,EX_17,DNA extraction,Gut,False
S3_004_010G1,#4D10_G,EX_17,DNA extraction,Gut,False
S3_009_057G1,#9D57_G,EX_17,DNA extraction,Gut,False
S3_014_027G1,#14D27_G,EX_17,DNA extraction,Gut,False
S3_016_057G1,#16D57_G,EX_17,DNA extraction,Gut,False
S3_007_017G1,#7D17_G,EX_17,DNA extraction,Gut,False
S3_011_033W1,#11D33_S,EX_15,DNA extraction,Skin,False
S3_011_033W1,#11D33_S_dup,EX_15,DNA extraction,Skin,False
S3_011_033Y1,#11D33_M,EX_15,DNA extraction,Mouth,False
S3_011_033Y1,#11D33_M_dup,EX_15,DNA extraction,Mouth,False
S3_011_052W1,#11D52_S,EX_15,DNA extraction,Skin,False
S3_011_052W1,#11D52_S_dup,EX_15,DNA extraction,Skin,False
S3_011_052Y1,#11D52_M,EX_15,DNA extraction,Mouth,False
S3_011_052Y1,#11D52_M_dup,EX_15,DNA extraction,Mouth,False
S3_012_010W1,#12D10_S,EX_15,DNA extraction,Skin,False
S3_012_010W1,#12D10_S_dup,EX_15,DNA extraction,Skin,False
S3_012_010Y1,#12D10_M,EX_15,DNA extraction,Mouth,False
S3_012_010Y1,#12D10_M_dup,EX_15,DNA extraction,Mouth,False
S3_012_025W1,#12D25_S,EX_15,DNA extraction,Skin,False
S3_012_025W1,#12D25_S_dup,EX_15,DNA extraction,Skin,False
S3_012_025Y1,#12D25_M,EX_15,DNA extraction,Mouth,False
S3_012_025Y1,#12D25_M_dup,EX_15,DNA extraction,Mouth,False
S3_012_057W1,#12D57_S,EX_15,DNA extraction,Skin,False
S3_012_057W1,#12D57_S_dup,EX_15,DNA extraction,Skin,False
S3_012_057Y1,#12D57_M,EX_15,DNA extraction,Mouth,False
S3_012_057Y1,#12D57_M_dup,EX_15,DNA extraction,Mouth,False
S3_013_008W1,#13D8_S,EX_15,DNA extraction,Skin,False
S3_013_008W1,#13D8_S_dup,EX_15,DNA extraction,Skin,False
S3_013_008Y1,#13D8_M,EX_15,DNA extraction,Mouth,False
S3_013_008Y1,#13D8_M_dup,EX_15,DNA extraction,Mouth,False
S3_013_029W1,#13D29_S,EX_15,DNA extraction,Skin,False
S3_013_029W1,#13D29_S_dup,EX_15,DNA extraction,Skin,False
S3_013_029Y1,#13D29_M,EX_15,DNA extraction,Mouth,False
S3_013_029Y1,#13D29_M_dup,EX_15,DNA extraction,Mouth,False
S3_013_057W1,#13D57_S,EX_15,DNA extraction,Skin,False
S3_013_057W1,#13D57_S_dup,EX_15,DNA extraction,Skin,False
S3_013_057Y1,#13D57_M,EX_15,DNA extraction,Mouth,False
S3_013_057Y1,#13D57_M_dup,EX_15,DNA extraction,Mouth,False
S3_014_010W1,#14D10_S,EX_15,DNA extraction,Skin,False
S3_014_010W1,#14D10_S_dup,EX_15,DNA extraction,Skin,False
S3_014_010Y1,#14D10_M,EX_15,DNA extraction,Mouth,False
S3_014_010Y1,#14D10_M_dup,EX_15,DNA extraction,Mouth,False
S3_014_027W1,#14D27_S,EX_15,DNA extraction,Skin,False
S3_014_027W1,#14D27_S_dup,EX_15,DNA extraction,Skin,False
S3_014_027Y1,#14D27_M,EX_15,DNA extraction,Mouth,False
S3_014_027Y1,#14D27_M_dup,EX_15,DNA extraction,Mouth,False
S3_014_057W1,#14D57_S,EX_15,DNA extraction,Skin,False
S3_014_057W1,#14D57_S_dup,EX_15,DNA extraction,Skin,False
S3_014_057Y1,#14D57_M,EX_15,DNA extraction,Mouth,False
S3_014_057Y1,#14D57_M_dup,EX_15,DNA extraction,Mouth,False
S3_015_008W1,#15D8_S,EX_15,DNA extraction,Skin,False
S3_015_008W1,#15D8_S_dup,EX_15,DNA extraction,Skin,False
S3_015_008Y1,#15D8_M,EX_15,DNA extraction,Mouth,False
S3_015_008Y1,#15D8_M_dup,EX_15,DNA extraction,Mouth,False
S3_015_028W1,#15D28_S,EX_15,DNA extraction,Skin,False
S3_015_028W1,#15D28_S_dup,EX_15,DNA extraction,Skin,False
S3_015_028Y1,#15D28_M,EX_15,DNA extraction,Mouth,False
S3_015_028Y1,#15D28_M_dup,EX_15,DNA extraction,Mouth,False
S3_015_050W1,#15D50_S,EX_15,DNA extraction,Skin,False
S3_015_050W1,#15D50_S_dup,EX_15,DNA extraction,Skin,False
S3_015_050Y1,#15D50_M,EX_15,DNA extraction,Mouth,False
S3_015_050Y1,#15D50_M_dup,EX_15,DNA extraction,Mouth,False
S3_016_030W1,#16D30_S,EX_15,DNA extraction,Skin,False
S3_016_030W1,#16D30_S_dup,EX_15,DNA extraction,Skin,False
S3_016_030Y1,#16D30_M,EX_15,DNA extraction,Mouth,False
S3_016_030Y1,#16D30_M_dup,EX_15,DNA extraction,Mouth,False
S3_016_057W1,#16D57_S,EX_15,DNA extraction,Skin,False
S3_016_057W1,#16D57_S_dup,EX_15,DNA extraction,Skin,False
S3_016_057Y1,#16D57_M,EX_15,DNA extraction,Mouth,False
S3_016_057Y1,#16D57_M_dup,EX_15,DNA extraction,Mouth,False
S3_017_011W1,#17D11_S,EX_15,DNA extraction,Skin,False
S3_017_011W1,#17D11_S_dup,EX_15,DNA extraction,Skin,False
S3_017_011Y1,#17D11_M,EX_15,DNA extraction,Mouth,False
S3_017_011Y1,#17D11_M_dup,EX_15,DNA extraction,Mouth,False
S3_017_029W1,#17D29_S,EX_15,DNA extraction,Skin,False
S3_017_029W1,#17D29_S_dup,EX_15,DNA extraction,Skin,False
S3_017_029Y1,#17D29_M,EX_15,DNA extraction,Mouth,False
S3_017_029Y1,#17D29_M_dup,EX_15,DNA extraction,Mouth,False
S3_011_013W1,#11D13_S,EX_15,DNA extraction,Skin,False
S3_002_008W1,#2D8_S,EX_12,DNA extraction,Skin,False
S3_002_008W1,#2D8_S_dup,EX_12,DNA extraction,Skin,False
S3_002_008Y1,#2D8_M,EX_12,DNA extraction,Mouth,False
S3_002_008Y1,#2D8_M_dup,EX_12,DNA extraction,Mouth,False
S3_002_028W1,#2D28_S,EX_12,DNA extraction,Skin,True
S3_002_028W1,#2D28_S_dup,EX_12,DNA extraction,Skin,True
S3_002_028Y1,#2D28_M,EX_12,DNA extraction,Mouth,False
S3_002_028Y1,#2D28_M_dup,EX_12,DNA extraction,Mouth,False
S3_002_056W1,#2D56_S,EX_12,DNA extraction,Skin,False
S3_002_056W1,#2D56_S_dup,EX_12,DNA extraction,Skin,False
S3_002_056Y1,#2D56_M,EX_12,DNA extraction,Mouth,False
S3_002_056Y1,#2D56_M_dup,EX_12,DNA extraction,Mouth,False
S3_003_012W1,#3D12_S,EX_12,DNA extraction,Skin,False
S3_003_012W1,#3D12_S_dup,EX_12,DNA extraction,Skin,False
S3_003_012Y1,#3D12_M,EX_12,DNA extraction,Mouth,False
S3_003_012Y1,#3D12_M_dup,EX_12,DNA extraction,Mouth,False
S3_003_032W1,#3D32_S,EX_13,DNA extraction,Skin,False
S3_003_032W1,#3D32_S_dup,EX_13,DNA extraction,Skin,False
S3_003_032Y1,#3D32_M,EX_13,DNA extraction,Mouth,False
S3_003_032Y1,#3D32_M_dup,EX_13,DNA extraction,Mouth,False
S3_003_051W1,#3D51_S,EX_13,DNA extraction,Skin,False
S3_003_051W1,#3D51_S_dup,EX_13,DNA extraction,Skin,False
S3_003_051Y1,#3D51_M,EX_13,DNA extraction,Mouth,False
S3_003_051Y1,#3D51_M_dup,EX_13,DNA extraction,Mouth,False
S3_004_010W1,#4D10_S,EX_13,DNA extraction,Skin,False
S3_004_010W1,#4D10_S_dup,EX_13,DNA extraction,Skin,False
S3_004_010Y1,#4D10_M,EX_13,DNA extraction,Mouth,True
S3_004_010Y1,#4D10_M_dup,EX_13,DNA extraction,Mouth,True
S3_004_032W1,#4D32_S,EX_13,DNA extraction,Skin,False
S3_004_032W1,#4D32_S_dup,EX_13,DNA extraction,Skin,False
S3_004_032Y1,#4D32_M,EX_13,DNA extraction,Mouth,False
S3_004_032Y1,#4D32_M_dup,EX_13,DNA extraction,Mouth,False
S3_004_057W1,#4D57_S,EX_13,DNA extraction,Skin,False
S3_004_057W1,#4D57_S_dup,EX_13,DNA extraction,Skin,False
S3_004_057Y1,#4D57_M,EX_13,DNA extraction,Mouth,False
S3_004_057Y1,#4D57_M_dup,EX_13,DNA extraction,Mouth,False
S3_005_011W1,#5D11_S,EX_13,DNA extraction,Skin,False
S3_005_011W1,#5D11_S_dup,EX_13,DNA extraction,Skin,False
S3_005_011Y1,#5D11_M,EX_13,DNA extraction,Mouth,False
S3_005_011Y1,#5D11_M_dup,EX_13,DNA extraction,Mouth,False
S3_005_029W1,#5D29_S,EX_13,DNA extraction,Skin,False
S3_005_029W1,#5D29_S_dup,EX_13,DNA extraction,Skin,False
S3_005_029Y1,#5D29_M,EX_13,DNA extraction,Mouth,False
S3_005_029Y1,#5D29_M_dup,EX_13,DNA extraction,Mouth,False
S3_005_059W1,#5D59_S,EX_13,DNA extraction,Skin,False
S3_005_059W1,#5D59_S_dup,EX_13,DNA extraction,Skin,False
S3_005_059Y1,#5D59_M,EX_13,DNA extraction,Mouth,False
S3_005_059Y1,#5D59_M_dup,EX_13,DNA extraction,Mouth,False
S3_006_015W1,#6D15_S,EX_13,DNA extraction,Skin,True
S3_006_015W1,#6D15_S_dup,EX_13,DNA extraction,Skin,True
S3_006_015Y1,#6D15_M,EX_13,DNA extraction,Mouth,False
S3_006_015Y1,#6D15_M_dup,EX_13,DNA extraction,Mouth,False
S3_006_029W1,#6D29_S,EX_13,DNA extraction,Skin,False
S3_006_029W1,#6D29_S_dup,EX_13,DNA extraction,Skin,False
S3_006_029Y1,#6D29_M,EX_13,DNA extraction,Mouth,False
S3_006_029Y1,#6D29_M_dup,EX_13,DNA extraction,Mouth,False
S3_007_009W1,#7D9_S,EX_13,DNA extraction,Skin,False
S3_006_057W1,#6D57_S,EX_14,DNA extraction,Skin,False
S3_006_057W1,#6D57_S_dup,EX_14,DNA extraction,Skin,False
S3_006_057Y1,#6D57_M,EX_14,DNA extraction,Mouth,False
S3_006_057Y1,#6D57_M_dup,EX_14,DNA extraction,Mouth,False
S3_007_015W1,#7D15_S,EX_14,DNA extraction,Skin,False
S3_007_015W1,#7D15_S_dup,EX_14,DNA extraction,Skin,False
S3_007_015Y1,#7D15_M,EX_14,DNA extraction,Mouth,False
S3_007_015Y1,#7D15_M_dup,EX_14,DNA extraction,Mouth,False
S3_008_010W1,#8D10_S,EX_14,DNA extraction,Skin,False
S3_008_010W1,#8D10_S_dup,EX_14,DNA extraction,Skin,False
S3_008_010Y1,#8D10_M,EX_14,DNA extraction,Mouth,False
S3_008_010Y1,#8D10_M_dup,EX_14,DNA extraction,Mouth,False
S3_008_015W1,#8D15_S,EX_14,DNA extraction,Skin,False
S3_008_015W1,#8D15_S_dup,EX_14,DNA extraction,Skin,False
S3_008_015Y1,#8D15_M,EX_14,DNA extraction,Mouth,False
S3_008_015Y1,#8D15_M_dup,EX_14,DNA extraction,Mouth,False
S3_008_029W1,#8D29_S,EX_14,DNA extraction,Skin,False
S3_008_029W1,#8D29_S_dup,EX_14,DNA extraction,Skin,False
S3_008_029Y1,#8D29_M,EX_14,DNA extraction,Mouth,True
S3_008_029Y1,#8D29_M_dup,EX_14,DNA extraction,Mouth,True
S3_009_011W1,#9D11_S,EX_14,DNA extraction,Skin,False
S3_009_011W1,#9D11_S_dup,EX_14,DNA extraction,Skin,False
S3_009_011Y1,#9D11_M,EX_14,DNA extraction,Mouth,False
S3_009_011Y1,#9D11_M_dup,EX_14,DNA extraction,Mouth,False
S3_009_031W1,#9D31_S,EX_14,DNA extraction,Skin,False
S3_009_031W1,#9D31_S_dup,EX_14,DNA extraction,Skin,False
S3_009_031Y1,#9D31_M,EX_14,DNA extraction,Mouth,False
S3_009_031Y1,#9D31_M_dup,EX_14,DNA extraction,Mouth,False
S3_009_057W1,#9D57_S,EX_14,DNA extraction,Skin,False
S3_009_057W1,#9D57_S_dup,EX_14,DNA extraction,Skin,False
S3_009_057Y1,#9D57_M,EX_14,DNA extraction,Mouth,False
S3_009_057Y1,#9D57_M_dup,EX_14,DNA extraction,Mouth,False
S3_010_010W1,#10D10_S,EX_14,DNA extraction,Skin,False
S3_010_010W1,#10D10_S_dup,EX_14,DNA extraction,Skin,False
S3_010_010Y1,#10D10_M,EX_14,DNA extraction,Mouth,False
S3_010_010Y1,#10D10_M_dup,EX_14,DNA extraction,Mouth,False
S3_010_013W1,#10D13_S,EX_14,DNA extraction,Skin,False
S3_010_013W1,#10D13_S_dup,EX_14,DNA extraction,Skin,False
S3_010_013Y1,#10D13_M,EX_14,DNA extraction,Mouth,False
S3_010_013Y1,#10D13_M_dup,EX_14,DNA extraction,Mouth,False
S3_010_019W1,#10D19_S,EX_14,DNA extraction,Skin,False
S3_010_019W1,#10D19_S_dup,EX_14,DNA extraction,Skin,False
S3_010_019Y1,#10D19_M,EX_14,DNA extraction,Mouth,False
S3_010_019Y1,#10D19_M_dup,EX_14,DNA extraction,Mouth,False
S3_011_013Y1,#11D13_M,EX_14,DNA extraction,Mouth,False
S3_011_013Y1,#11D13_M_dup,EX_14,DNA extraction,Mouth,False
S3_007_009Y1,#7D9_M,EX_14,DNA extraction,Mouth,False
S3_016_015W1,#16D15_S,EX_16,DNA extraction,Skin,False
S3_016_015W1,#16D15_S_dup,EX_16,DNA extraction,Skin,False
S3_016_015Y1,#16D15_M,EX_16,DNA extraction,Mouth,False
S3_016_015Y1,#16D15_M_dup,EX_16,DNA extraction,Mouth,False
S3_CON_015Z1,PC4_1,EX_15,DNA extraction,CON_Z,False
S3_CON_012E1,NC1,EX_12,DNA extraction,CON_E,False
S3_CON_014E1,NC3,EX_14,DNA extraction,CON_E,False
S3_CON_017Z2,PC6_2,EX_17,DNA extraction,CON_Z,False
S3_CON_016Z1,PC5,EX_16,DNA extraction,CON_Z,False
S3_CON_016Z3,PC5_2,EX_16,DNA extraction,CON_Z,False
S3_CON_016E1,NC5,EX_16,DNA extraction,CON_E,False
S3_017_056W1,#17D56_S,EX_15,DNA extraction,Skin,False
S3_017_056W1,#17D56_S_dup,EX_15,DNA extraction,Skin,False
S3_017_056Y1,#17D56_M,EX_15,DNA extraction,Mouth,False
S3_017_056Y1,#17D56_M_dup,EX_15,DNA extraction,Mouth,False
S3_017_011G1,#17D11_G,EX_17,DNA extraction,Gut,False
S3_CON_017E1,NC6,EX_17,DNA extraction,CON_E,False
S3_002_008W1,#2D8_S,LP_1,Library preperation,Skin,False
S3_004_057W1,#4D57_S,LP_1,Library preperation,Skin,False
S3_006_057W1,#6D57_S,LP_1,Library preperation,Skin,False
S3_009_011W1,#9D11_S,LP_1,Library preperation,Skin,False
S3_011_033W1,#11D33_S,LP_1,Library preperation,Skin,False
S3_011_052W1,#11D52_S,LP_1,Library preperation,Skin,False
S3_CON_012E1,NC1,LP_1,Library preperation,CON_E,False
S3_002_028W1,#2D28_S,LP_1,Library preperation,Skin,True
S3_005_011W1,#5D11_S,LP_1,Library preperation,Skin,False
S3_008_010W1,#8D10_S,LP_1,Library preperation,Skin,False
S3_009_031W1,#9D31_S,LP_1,Library preperation,Skin,False
S3_012_025W1,#12D25_S,LP_1,Library preperation,Skin,False
S3_012_057W1,#12D57_S,LP_1,Library preperation,Skin,False
S3_002_056W1,#2D56_S,LP_1,Library preperation,Skin,False
S3_005_029W1,#5D29_S,LP_1,Library preperation,Skin,False
S3_008_029W1,#8D29_S,LP_1,Library preperation,Skin,False
S3_012_010W1,#12D10_S,LP_1,Library preperation,Skin,False
S3_013_029W1,#13D29_S,LP_1,Library preperation,Skin,False
S3_013_057W1,#13D57_S,LP_1,Library preperation,Skin,False
S3_CON_014E1,NC3,LP_1,Library preperation,CON_E,False
S3_003_012W1,#3D12_S,LP_1,Library preperation,Skin,False
S3_005_059W1,#5D59_S,LP_1,Library preperation,Skin,False
S3_009_057W1,#9D57_S,LP_1,Library preperation,Skin,False
S3_013_008W1,#13D8_S,LP_1,Library preperation,Skin,False
S3_014_027W1,#14D27_S,LP_1,Library preperation,Skin,False
S3_014_057W1,#14D57_S,LP_1,Library preperation,Skin,False
S3_003_032W1,#3D32_S,LP_1,Library preperation,Skin,False
S3_006_029W1,#6D29_S,LP_1,Library preperation,Skin,False
S3_010_019W1,#10D19_S,LP_1,Library preperation,Skin,False
S3_014_010W1,#14D10_S,LP_1,Library preperation,Skin,False
S3_015_028W1,#15D28_S,LP_1,Library preperation,Skin,False
S3_015_050W1,#15D50_S,LP_1,Library preperation,Skin,False
S3_CON_016E1,NC5,LP_1,Library preperation,CON_E,False
S3_003_051W1,#3D51_S,LP_1,Library preperation,Skin,False
S3_006_015W1,#6D15_S,LP_1,Library preperation,Skin,True
S3_007_015W1,#7D15_S,LP_1,Library preperation,Skin,False
S3_015_008W1,#15D8_S,LP_1,Library preperation,Skin,False
S3_016_030W1,#16D30_S,LP_1,Library preperation,Skin,False
S3_016_057W1,#16D57_S,LP_1,Library preperation,Skin,False
S3_004_010W1,#4D10_S,LP_1,Library preperation,Skin,False
S3_007_009W1,#7D9_S,LP_1,Library preperation,Skin,False
S3_008_015W1,#8D15_S,LP_1,Library preperation,Skin,False
S3_017_011W1,#17D11_S,LP_1,Library preperation,Skin,False
S3_017_029W1,#17D29_S,LP_1,Library preperation,Skin,False
S3_017_056W1,#17D56_S,LP_1,Library preperation,Skin,False
S3_004_032W1,#4D32_S,LP_1,Library preperation,Skin,False
S3_010_013W1,#10D13_S,LP_1,Library preperation,Skin,False
S3_010_010W1,#10D10_S,LP_1,Library preperation,Skin,False
S3_011_013W1,#11D13_S,LP_1,Library preperation,Skin,False
S3_016_015W1,#16D15_S,LP_1,Library preperation,Skin,False
S3_002_008Y1,#2D8_M,LP_2,Library preperation,Mouth,False
S3_005_011Y1,#5D11_M,LP_2,Library preperation,Mouth,False
S3_006_057Y1,#6D57_M,LP_2,Library preperation,Mouth,False
S3_010_013Y1,#10D13_M,LP_2,Library preperation,Mouth,False
S3_011_033Y1,#11D33_M,LP_2,Library preperation,Mouth,False
S3_011_052Y1,#11D52_M,LP_2,Library preperation,Mouth,False
S3_CON_015Z1,PC4_1,LP_2,Library preperation,CON_Z,False
S3_002_028Y1,#2D28_M,LP_2,Library preperation,Mouth,False
S3_005_029Y1,#5D29_M,LP_2,Library preperation,Mouth,False
S3_008_010Y1,#8D10_M,LP_2,Library preperation,Mouth,False
S3_011_013Y1,#11D13_M,LP_2,Library preperation,Mouth,False
S3_012_025Y1,#12D25_M,LP_2,Library preperation,Mouth,False
S3_012_057Y1,#12D57_M,LP_2,Library preperation,Mouth,False
S3_002_056Y1,#2D56_M,LP_2,Library preperation,Mouth,False
S3_003_032Y1,#3D32_M,LP_2,Library preperation,Mouth,False
S3_008_029Y1,#8D29_M,LP_2,Library preperation,Mouth,True
S3_007_009Y1,#7D9_M,LP_2,Library preperation,Mouth,False
S3_013_029Y1,#13D29_M,LP_2,Library preperation,Mouth,False
S3_013_057Y1,#13D57_M,LP_2,Library preperation,Mouth,False
S3_CON_016Z1,PC5,LP_2,Library preperation,CON_Z,False
S3_003_012Y1,#3D12_M,LP_2,Library preperation,Mouth,False
S3_004_057Y1,#4D57_M,LP_2,Library preperation,Mouth,False
S3_007_015Y1,#7D15_M,LP_2,Library preperation,Mouth,False
S3_012_010Y1,#12D10_M,LP_2,Library preperation,Mouth,False
S3_014_027Y1,#14D27_M,LP_2,Library preperation,Mouth,False
S3_014_057Y1,#14D57_M,LP_2,Library preperation,Mouth,False
S3_003_051Y1,#3D51_M,LP_2,Library preperation,Mouth,False
S3_005_059Y1,#5D59_M,LP_2,Library preperation,Mouth,False
S3_008_015Y1,#8D15_M,LP_2,Library preperation,Mouth,False
S3_013_008Y1,#13D8_M,LP_2,Library preperation,Mouth,False
S3_015_028Y1,#15D28_M,LP_2,Library preperation,Mouth,False
S3_015_050Y1,#15D50_M,LP_2,Library preperation,Mouth,False
S3_CON_016Z3,PC5_2,LP_2,Library preperation,CON_Z,False
S3_006_015Y1,#6D15_M,LP_2,Library preperation,Mouth,False
S3_006_029Y1,#6D29_M,LP_2,Library preperation,Mouth,False
S3_010_010Y1,#10D10_M,LP_2,Library preperation,Mouth,False
S3_014_010Y1,#14D10_M,LP_2,Library preperation,Mouth,False
S3_016_030Y1,#16D30_M,LP_2,Library preperation,Mouth,False
S3_016_057Y1,#16D57_M,LP_2,Library preperation,Mouth,False
S3_004_010Y1,#4D10_M,LP_2,Library preperation,Mouth,True
S3_009_057Y1,#9D57_M,LP_2,Library preperation,Mouth,False
S3_009_011Y1,#9D11_M,LP_2,Library preperation,Mouth,False
S3_015_008Y1,#15D8_M,LP_2,Library preperation,Mouth,False
S3_017_029Y1,#17D29_M,LP_2,Library preperation,Mouth,False
S3_017_056Y1,#17D56_M,LP_2,Library preperation,Mouth,False
S3_004_032Y1,#4D32_M,LP_2,Library preperation,Mouth,False
S3_010_019Y1,#10D19_M,LP_2,Library preperation,Mouth,False
S3_009_031Y1,#9D31_M,LP_2,Library preperation,Mouth,False
S3_017_011Y1,#17D11_M,LP_2,Library preperation,Mouth,False
S3_016_015Y1,#16D15_M,LP_2,Library preperation,Mouth,False
S3_002_008G1,#2D8_G,LP_3,Library preperation,Gut,False
S3_004_057G1,#4D57_G,LP_3,Library preperation,Gut,False
S3_008_010G1,#8D10_G,LP_3,Library preperation,Gut,False
S3_010_019G1,#10D19_G,LP_3,Library preperation,Gut,False
S3_013_028G1,#13D28_G,LP_3,Library preperation,Gut,False
S3_016_015G1,#16D15_G,LP_3,Library preperation,Gut,False
S3_002_028G1,#2D28_G,LP_3,Library preperation,Gut,False
S3_005_011G1,#5D11_G,LP_3,Library preperation,Gut,False
S3_008_015G1,#8D15_G,LP_3,Library preperation,Gut,False
S3_011_013G1,#11D13_G,LP_3,Library preperation,Gut,False
S3_013_056G1,#13D56_G,LP_3,Library preperation,Gut,False
S3_016_030G1,#16D30_G,LP_3,Library preperation,Gut,False
S3_CON_017Z2,PC6_2,LP_3,Library preperation,CON_Z,False
S3_002_054G1,#2D54_G,LP_3,Library preperation,Gut,False
S3_005_029G1,#5D29_G,LP_3,Library preperation,Gut,False
S3_008_029G1,#8D29_G,LP_3,Library preperation,Gut,False
S3_011_033G1,#11D33_G,LP_3,Library preperation,Gut,False
S3_014_012G1,#14D12_G,LP_3,Library preperation,Gut,False
S3_016_057G1,#16D57_G,LP_3,Library preperation,Gut,False
S3_003_014G1,#3D14_G,LP_3,Library preperation,Gut,False
S3_005_059G1,#5D59_G,LP_3,Library preperation,Gut,False
S3_009_009G1,#9D9_G,LP_3,Library preperation,Gut,False
S3_011_053G1,#11D53_G,LP_3,Library preperation,Gut,False
S3_014_027G1,#14D27_G,LP_3,Library preperation,Gut,False
S3_017_011G1,#17D11_G,LP_3,Library preperation,Gut,False
S3_CON_017Z4,PC6_1,LP_3,Library preperation,CON_Z,False
S3_003_030G1,#3D30_G,LP_3,Library preperation,Gut,False
S3_006_057G1,#6D57_G,LP_3,Library preperation,Gut,False
S3_009_031G1,#9D31_G,LP_3,Library preperation,Gut,False
S3_012_010G1,#12D10_G,LP_3,Library preperation,Gut,False
S3_014_059G1,#14D59_G,LP_3,Library preperation,Gut,False
S3_017_030G1,#17D30_G,LP_3,Library preperation,Gut,False
S3_003_051G1,#3D51_G,LP_3,Library preperation,Gut,False
S3_007_011G1,#7D11_G,LP_3,Library preperation,Gut,False
S3_009_057G1,#9D57_G,LP_3,Library preperation,Gut,False
S3_012_032G1,#12D32_G,LP_3,Library preperation,Gut,False
S3_015_011G1,#15D11_G,LP_3,Library preperation,Gut,False
S3_017_051G1,#17D51_G,LP_3,Library preperation,Gut,False
S3_004_010G1,#4D10_G,LP_3,Library preperation,Gut,False
S3_007_016G1,#7D16_G,LP_3,Library preperation,Gut,False
S3_010_011G1,#10D11_G,LP_3,Library preperation,Gut,False
S3_012_057G1,#12D57_G,LP_3,Library preperation,Gut,False
S3_015_028G1,#15D28_G,LP_3,Library preperation,Gut,False
S3_CON_017E1,NC6,LP_3,Library preperation,CON_E,False
S3_004_032G1,#4D32_G,LP_3,Library preperation,Gut,False
S3_007_017G1,#7D17_G,LP_3,Library preperation,Gut,False
S3_010_013G1,#10D13_G,LP_3,Library preperation,Gut,False
S3_013_010G1,#13D10_G,LP_3,Library preperation,Gut,False
S3_015_052G1,#15D52_G,LP_3,Library preperation,Gut,False
S3_CON_018E1,NC7,LP_3,Library preperation,CON_E,False
