NCBI_sample_code,sample_name,plate,public_code,plate_type,Sample Type,spiked
S3_002_008G1,#2D8_G,EX_17,02A-08-T1950D,DNA extraction,Gut,False
S3_004_032G1,#4D32_G,EX_17,04A-32-T1030F,DNA extraction,Gut,False
S3_007_011G1,#7D11_G,EX_17,07A-11-T1700D,DNA extraction,Gut,False
S3_012_010G1,#12D10_G,EX_17,12A-10-T1015F,DNA extraction,Gut,False
S3_014_059G1,#14D59_G,EX_17,14A-59-T1600D,DNA extraction,Gut,False
S3_011_053G1,#11D53_G,EX_17,11A-53-T0500D,DNA extraction,Gut,False
S3_CON_017Z4,S3_CON_017Z4,EX_17,MCS-17-A11,DNA extraction,CON_Z,False
S3_004_057G1,#4D57_G,EX_17,04A-57-T1600F,DNA extraction,Gut,False
S3_007_016G1,#7D16_G,EX_17,07A-16-T0800D,DNA extraction,Gut,False
S3_010_011G1,#10D11_G,EX_17,10A-11-T1100D,DNA extraction,Gut,False
S3_012_032G1,#12D32_G,EX_17,12A-32-T1610D,DNA extraction,Gut,False
S3_015_011G1,#15D11_G,EX_17,15A-11-T0700D,DNA extraction,Gut,False
S3_013_010G1,#13D10_G,EX_17,13A-10-T0800D,DNA extraction,Gut,False
S3_002_028G1,#2D28_G,EX_17,02A-28-T1015D,DNA extraction,Gut,False
S3_005_011G1,#5D11_G,EX_17,05A-11-T1015F,DNA extraction,Gut,False
S3_008_010G1,#8D10_G,EX_17,08A-10-T2210F,DNA extraction,Gut,False
S3_010_013G1,#10D13_G,EX_17,10A-13-T0400F,DNA extraction,Gut,False
S3_012_057G1,#12D57_G,EX_17,12A-57-T0715D,DNA extraction,Gut,False
S3_015_028G1,#15D28_G,EX_17,15A-28-T1030D,DNA extraction,Gut,False
S3_013_056G1,#13D56_G,EX_17,13A-56-T0500D,DNA extraction,Gut,False
S3_002_054G1,#2D54_G,EX_17,02A-54-T1700D,DNA extraction,Gut,False
S3_008_015G1,#8D15_G,EX_17,08A-15-T0800D,DNA extraction,Gut,False
S3_015_052G1,#15D52_G,EX_17,15A-52-T1115D,DNA extraction,Gut,False
S3_014_012G1,#14D12_G,EX_17,14A-12-T0700D,DNA extraction,Gut,False
S3_005_029G1,#5D29_G,EX_17,05A-29-T0400F,DNA extraction,Gut,False
S3_008_029G1,#8D29_G,EX_17,08A-29-T1900D,DNA extraction,Gut,False
S3_010_019G1,#10D19_G,EX_17,10A-19-T1600D,DNA extraction,Gut,False
S3_013_028G1,#13D28_G,EX_17,13A-28-T2200D,DNA extraction,Gut,False
S3_017_030G1,#17D30_G,EX_17,17A-30-T1000D,DNA extraction,Gut,False
S3_003_030G1,#3D30_G,EX_17,03A-30-T1605D,DNA extraction,Gut,False
S3_005_059G1,#5D59_G,EX_17,05A-59-T1045F,DNA extraction,Gut,False
S3_009_009G1,#9D9_G,EX_17,09A-09-T0430F,DNA extraction,Gut,False
S3_011_013G1,#11D13_G,EX_17,11A-13-T1000D,DNA extraction,Gut,False
S3_016_015G1,#16D15_G,EX_17,16A-15-T1045F,DNA extraction,Gut,False
S3_017_051G1,#17D51_G,EX_17,17A-51-T0100D,DNA extraction,Gut,False
S3_003_051G1,#3D51_G,EX_17,03A-51-T1335D,DNA extraction,Gut,False
S3_006_057G1,#6D57_G,EX_17,06A-57-T0730D,DNA extraction,Gut,False
S3_009_031G1,#9D31_G,EX_17,09A-31-T2230D,DNA extraction,Gut,False
S3_011_033G1,#11D33_G,EX_17,11A-33-T1700F,DNA extraction,Gut,False
S3_016_030G1,#16D30_G,EX_17,16A-30-T2300D,DNA extraction,Gut,False
S3_004_010G1,#4D10_G,EX_17,04A-10-T1600D,DNA extraction,Gut,False
S3_009_057G1,#9D57_G,EX_17,09A-57-T1630F,DNA extraction,Gut,False
S3_014_027G1,#14D27_G,EX_17,14A-27-T1315F,DNA extraction,Gut,False
S3_016_057G1,#16D57_G,EX_17,16A-57-T1600D,DNA extraction,Gut,False
S3_007_017G1,#7D17_G,EX_17,07A-17-T0000D,DNA extraction,Gut,False
S3_011_033W1,#11D33_S,EX_15,11W-0214-1,DNA extraction,Skin,False
S3_011_033W1,#11D33_S,EX_15,11W-0214-2,DNA extraction,Skin,False
S3_011_033Y1,#11D33_M,EX_15,11Y-0214-1,DNA extraction,Mouth,False
S3_011_033Y1,#11D33_M,EX_15,11Y-0214-2,DNA extraction,Mouth,False
S3_011_052W1,#11D52_S,EX_15,11W-0305-1,DNA extraction,Skin,False
S3_011_052W1,#11D52_S,EX_15,11W-0305-2,DNA extraction,Skin,False
S3_011_052Y1,#11D52_M,EX_15,11Y-0305-1,DNA extraction,Mouth,False
S3_011_052Y1,#11D52_M,EX_15,11Y-0305-2,DNA extraction,Mouth,False
S3_012_010W1,#12D10_S,EX_15,12W-0404-1,DNA extraction,Skin,False
S3_012_010W1,#12D10_S,EX_15,12W-0404-2,DNA extraction,Skin,False
S3_012_010Y1,#12D10_M,EX_15,12Y-0404-1,DNA extraction,Mouth,False
S3_012_010Y1,#12D10_M,EX_15,12Y-0404-2,DNA extraction,Mouth,False
S3_012_025W1,#12D25_S,EX_15,12W-0419-1,DNA extraction,Skin,False
S3_012_025W1,#12D25_S,EX_15,12W-0419-2,DNA extraction,Skin,False
S3_012_025Y1,#12D25_M,EX_15,12Y-0419-1,DNA extraction,Mouth,False
S3_012_025Y1,#12D25_M,EX_15,12Y-0419-2,DNA extraction,Mouth,False
S3_012_057W1,#12D57_S,EX_15,12W-0521-1,DNA extraction,Skin,False
S3_012_057W1,#12D57_S,EX_15,12W-0521-2,DNA extraction,Skin,False
S3_012_057Y1,#12D57_M,EX_15,12Y-0521-1,DNA extraction,Mouth,False
S3_012_057Y1,#12D57_M,EX_15,12Y-0521-2,DNA extraction,Mouth,False
S3_013_008W1,#13D8_S,EX_15,13W-0402-1,DNA extraction,Skin,False
S3_013_008W1,#13D8_S,EX_15,13W-0402-2,DNA extraction,Skin,False
S3_013_008Y1,#13D8_M,EX_15,13Y-0402-1,DNA extraction,Mouth,False
S3_013_008Y1,#13D8_M,EX_15,13Y-0402-2,DNA extraction,Mouth,False
S3_013_029W1,#13D29_S,EX_15,13W-0423-1,DNA extraction,Skin,False
S3_013_029W1,#13D29_S,EX_15,13W-0423-2,DNA extraction,Skin,False
S3_013_029Y1,#13D29_M,EX_15,13Y-0423-1,DNA extraction,Mouth,False
S3_013_029Y1,#13D29_M,EX_15,13Y-0423-2,DNA extraction,Mouth,False
S3_013_057W1,#13D57_S,EX_15,13W-0521-1,DNA extraction,Skin,False
S3_013_057W1,#13D57_S,EX_15,13W-0521-2,DNA extraction,Skin,False
S3_013_057Y1,#13D57_M,EX_15,13Y-0521-1,DNA extraction,Mouth,False
S3_013_057Y1,#13D57_M,EX_15,13Y-0521-2,DNA extraction,Mouth,False
S3_014_010W1,#14D10_S,EX_15,14W-0525-1,DNA extraction,Skin,False
S3_014_010W1,#14D10_S,EX_15,14W-0525-2,DNA extraction,Skin,False
S3_014_010Y1,#14D10_M,EX_15,14Y-0525-1,DNA extraction,Mouth,False
S3_014_010Y1,#14D10_M,EX_15,14Y-0525-2,DNA extraction,Mouth,False
S3_014_027W1,#14D27_S,EX_15,14W-0611-1,DNA extraction,Skin,False
S3_014_027W1,#14D27_S,EX_15,14W-0611-2,DNA extraction,Skin,False
S3_014_027Y1,#14D27_M,EX_15,14Y-0611-1,DNA extraction,Mouth,False
S3_014_027Y1,#14D27_M,EX_15,14Y-0611-2,DNA extraction,Mouth,False
S3_014_057W1,#14D57_S,EX_15,14W-0711-1,DNA extraction,Skin,False
S3_014_057W1,#14D57_S,EX_15,14W-0711-2,DNA extraction,Skin,False
S3_014_057Y1,#14D57_M,EX_15,14Y-0711-1,DNA extraction,Mouth,False
S3_014_057Y1,#14D57_M,EX_15,14Y-0711-2,DNA extraction,Mouth,False
S3_015_008W1,#15D8_S,EX_15,15W-0608-1,DNA extraction,Skin,False
S3_015_008W1,#15D8_S,EX_15,15W-0608-2,DNA extraction,Skin,False
S3_015_008Y1,#15D8_M,EX_15,15Y-0608-1,DNA extraction,Mouth,False
S3_015_008Y1,#15D8_M,EX_15,15Y-0608-2,DNA extraction,Mouth,False
S3_015_028W1,#15D28_S,EX_15,15W-0628-1,DNA extraction,Skin,False
S3_015_028W1,#15D28_S,EX_15,15W-0628-2,DNA extraction,Skin,False
S3_015_028Y1,#15D28_M,EX_15,15Y-0628-1,DNA extraction,Mouth,False
S3_015_028Y1,#15D28_M,EX_15,15Y-0628-2,DNA extraction,Mouth,False
S3_015_050W1,#15D50_S,EX_15,15W-0720-1,DNA extraction,Skin,False
S3_015_050W1,#15D50_S,EX_15,15W-0720-2,DNA extraction,Skin,False
S3_015_050Y1,#15D50_M,EX_15,15Y-0720-1,DNA extraction,Mouth,False
S3_015_050Y1,#15D50_M,EX_15,15Y-0720-2,DNA extraction,Mouth,False
S3_016_030W1,#16D30_S,EX_15,16W-0823-1,DNA extraction,Skin,False
S3_016_030W1,#16D30_S,EX_15,16W-0823-2,DNA extraction,Skin,False
S3_016_030Y1,#16D30_M,EX_15,16Y-0823-1,DNA extraction,Mouth,False
S3_016_030Y1,#16D30_M,EX_15,16Y-0823-2,DNA extraction,Mouth,False
S3_016_057W1,#16D57_S,EX_15,16W-0919-1,DNA extraction,Skin,False
S3_016_057W1,#16D57_S,EX_15,16W-0919-2,DNA extraction,Skin,False
S3_016_057Y1,#16D57_M,EX_15,16Y-0919-1,DNA extraction,Mouth,False
S3_016_057Y1,#16D57_M,EX_15,16Y-0919-2,DNA extraction,Mouth,False
S3_017_011W1,#17D11_S,EX_15,17W-1001-1,DNA extraction,Skin,False
S3_017_011W1,#17D11_S,EX_15,17W-1001-2,DNA extraction,Skin,False
S3_017_011Y1,#17D11_M,EX_15,17Y-1001-1,DNA extraction,Mouth,False
S3_017_011Y1,#17D11_M,EX_15,17Y-1001-2,DNA extraction,Mouth,False
S3_017_029W1,#17D29_S,EX_15,17W-1019-1,DNA extraction,Skin,False
S3_017_029W1,#17D29_S,EX_15,17W-1019-2,DNA extraction,Skin,False
S3_017_029Y1,#17D29_M,EX_15,17Y-1019-1,DNA extraction,Mouth,False
S3_017_029Y1,#17D29_M,EX_15,17Y-1019-2,DNA extraction,Mouth,False
S3_011_013W1,#11D13_S,EX_15,11W-0125-1,DNA extraction,Skin,False
S3_002_008W1,#2D8_S,EX_12,02W-0407-1,DNA extraction,Skin,False
S3_002_008W1,#2D8_S,EX_12,02W-0407-2,DNA extraction,Skin,False
S3_002_008Y1,#2D8_M,EX_12,02Y-0407-1,DNA extraction,Mouth,False
S3_002_008Y1,#2D8_M,EX_12,02Y-0407-2,DNA extraction,Mouth,False
S3_002_028W1,#2D28_S,EX_12,02W-0427-1,DNA extraction,Skin,True
S3_002_028W1,#2D28_S,EX_12,02W-0427-2,DNA extraction,Skin,True
S3_002_028Y1,#2D28_M,EX_12,02Y-0427-1,DNA extraction,Mouth,False
S3_002_028Y1,#2D28_M,EX_12,02Y-0427-2,DNA extraction,Mouth,False
S3_002_056W1,#2D56_S,EX_12,02W-0525-1,DNA extraction,Skin,False
S3_002_056W1,#2D56_S,EX_12,02W-0525-2,DNA extraction,Skin,False
S3_002_056Y1,#2D56_M,EX_12,02Y-0525-1,DNA extraction,Mouth,False
S3_002_056Y1,#2D56_M,EX_12,02Y-0525-2,DNA extraction,Mouth,False
S3_003_012W1,#3D12_S,EX_12,03W-0615-1,DNA extraction,Skin,False
S3_003_012W1,#3D12_S,EX_12,03W-0615-2,DNA extraction,Skin,False
S3_003_012Y1,#3D12_M,EX_12,03Y-0615-1,DNA extraction,Mouth,False
S3_003_012Y1,#3D12_M,EX_12,03Y-0615-2,DNA extraction,Mouth,False
S3_003_032W1,#3D32_S,EX_13,03W-0705-1,DNA extraction,Skin,False
S3_003_032W1,#3D32_S,EX_13,03W-0705-2,DNA extraction,Skin,False
S3_003_032Y1,#3D32_M,EX_13,03Y-0705-1,DNA extraction,Mouth,False
S3_003_032Y1,#3D32_M,EX_13,03Y-0705-2,DNA extraction,Mouth,False
S3_003_051W1,#3D51_S,EX_13,03W-0724-1,DNA extraction,Skin,False
S3_003_051W1,#3D51_S,EX_13,03W-0724-2,DNA extraction,Skin,False
S3_003_051Y1,#3D51_M,EX_13,03Y-0724-1,DNA extraction,Mouth,False
S3_003_051Y1,#3D51_M,EX_13,03Y-0724-2,DNA extraction,Mouth,False
S3_004_010W1,#4D10_S,EX_13,04W-0620-1,DNA extraction,Skin,False
S3_004_010W1,#4D10_S,EX_13,04W-0620-2,DNA extraction,Skin,False
S3_004_010Y1,#4D10_M,EX_13,04Y-0620-1,DNA extraction,Mouth,True
S3_004_010Y1,#4D10_M,EX_13,04Y-0620-2,DNA extraction,Mouth,True
S3_004_032W1,#4D32_S,EX_13,04W-0713-1,DNA extraction,Skin,False
S3_004_032W1,#4D32_S,EX_13,04W-0713-2,DNA extraction,Skin,False
S3_004_032Y1,#4D32_M,EX_13,04Y-0713-1,DNA extraction,Mouth,False
S3_004_032Y1,#4D32_M,EX_13,04Y-0713-2,DNA extraction,Mouth,False
S3_004_057W1,#4D57_S,EX_13,04W-0807-1,DNA extraction,Skin,False
S3_004_057W1,#4D57_S,EX_13,04W-0807-2,DNA extraction,Skin,False
S3_004_057Y1,#4D57_M,EX_13,04Y-0807-1,DNA extraction,Mouth,False
S3_004_057Y1,#4D57_M,EX_13,04Y-0807-2,DNA extraction,Mouth,False
S3_005_011W1,#5D11_S,EX_13,05W-0720-1,DNA extraction,Skin,False
S3_005_011W1,#5D11_S,EX_13,05W-0720-2,DNA extraction,Skin,False
S3_005_011Y1,#5D11_M,EX_13,05Y-0720-1,DNA extraction,Mouth,False
S3_005_011Y1,#5D11_M,EX_13,05Y-0720-2,DNA extraction,Mouth,False
S3_005_029W1,#5D29_S,EX_13,05W-0807-1,DNA extraction,Skin,False
S3_005_029W1,#5D29_S,EX_13,05W-0807-2,DNA extraction,Skin,False
S3_005_029Y1,#5D29_M,EX_13,05Y-0807-1,DNA extraction,Mouth,False
S3_005_029Y1,#5D29_M,EX_13,05Y-0807-2,DNA extraction,Mouth,False
S3_005_059W1,#5D59_S,EX_13,05W-0906-1,DNA extraction,Skin,False
S3_005_059W1,#5D59_S,EX_13,05W-0906-2,DNA extraction,Skin,False
S3_005_059Y1,#5D59_M,EX_13,05Y-0906-1,DNA extraction,Mouth,False
S3_005_059Y1,#5D59_M,EX_13,05Y-0906-2,DNA extraction,Mouth,False
S3_006_015W1,#6D15_S,EX_13,06W-0918-1,DNA extraction,Skin,True
S3_006_015W1,#6D15_S,EX_13,06W-0918-2,DNA extraction,Skin,True
S3_006_015Y1,#6D15_M,EX_13,06Y-0918-1,DNA extraction,Mouth,False
S3_006_015Y1,#6D15_M,EX_13,06Y-0918-2,DNA extraction,Mouth,False
S3_006_029W1,#6D29_S,EX_13,06W-1002-1,DNA extraction,Skin,False
S3_006_029W1,#6D29_S,EX_13,06W-1002-2,DNA extraction,Skin,False
S3_006_029Y1,#6D29_M,EX_13,06Y-1002-1,DNA extraction,Mouth,False
S3_006_029Y1,#6D29_M,EX_13,06Y-1002-2,DNA extraction,Mouth,False
S3_007_009W1,#7D9_S,EX_13,07W-0922-2,DNA extraction,Skin,False
S3_006_057W1,#6D57_S,EX_14,06W-1030-1,DNA extraction,Skin,False
S3_006_057W1,#6D57_S,EX_14,06W-1030-2,DNA extraction,Skin,False
S3_006_057Y1,#6D57_M,EX_14,06Y-1030-1,DNA extraction,Mouth,False
S3_006_057Y1,#6D57_M,EX_14,06Y-1030-2,DNA extraction,Mouth,False
S3_007_015W1,#7D15_S,EX_14,07W-0928-1,DNA extraction,Skin,False
S3_007_015W1,#7D15_S,EX_14,07W-0928-2,DNA extraction,Skin,False
S3_007_015Y1,#7D15_M,EX_14,07Y-0928-1,DNA extraction,Mouth,False
S3_007_015Y1,#7D15_M,EX_14,07Y-0928-2,DNA extraction,Mouth,False
S3_008_010W1,#8D10_S,EX_14,08W-1101-1,DNA extraction,Skin,False
S3_008_010W1,#8D10_S,EX_14,08W-1101-2,DNA extraction,Skin,False
S3_008_010Y1,#8D10_M,EX_14,08Y-1101-1,DNA extraction,Mouth,False
S3_008_010Y1,#8D10_M,EX_14,08Y-1101-2,DNA extraction,Mouth,False
S3_008_015W1,#8D15_S,EX_14,08W-1106-1,DNA extraction,Skin,False
S3_008_015W1,#8D15_S,EX_14,08W-1106-2,DNA extraction,Skin,False
S3_008_015Y1,#8D15_M,EX_14,08Y-1106-1,DNA extraction,Mouth,False
S3_008_015Y1,#8D15_M,EX_14,08Y-1106-2,DNA extraction,Mouth,False
S3_008_029W1,#8D29_S,EX_14,08W-1120-1,DNA extraction,Skin,False
S3_008_029W1,#8D29_S,EX_14,08W-1120-2,DNA extraction,Skin,False
S3_008_029Y1,#8D29_M,EX_14,08Y-1120-1,DNA extraction,Mouth,True
S3_008_029Y1,#8D29_M,EX_14,08Y-1120-2,DNA extraction,Mouth,True
S3_009_011W1,#9D11_S,EX_14,09W-1207-1,DNA extraction,Skin,False
S3_009_011W1,#9D11_S,EX_14,09W-1207-2,DNA extraction,Skin,False
S3_009_011Y1,#9D11_M,EX_14,09Y-1207-1,DNA extraction,Mouth,False
S3_009_011Y1,#9D11_M,EX_14,09Y-1207-2,DNA extraction,Mouth,False
